Runda,Data,N1,N2,N3,N4,N5,N6,,,,,,,
Tragerea #1,1993-08-08,38,17,47,25,30,37,,,,,,,
Tragerea #2,1993-08-15,6,7,30,17,2,42,,,,,,,
Tragerea #3,1993-08-22,44,20,17,3,38,45,,,,,,,
Tragerea #4,1993-08-29,42,30,36,5,4,6,,,,,,,
Tragerea #5,1993-09-05,5,14,7,49,35,19,,,,,,,
Tragerea #6,1993-09-12,42,28,41,15,22,38,,,,,,,
Tragerea #7,1993-09-19,18,4,16,35,2,17,,,,,,,
Tragerea #8,1993-10-03,44,48,34,37,4,41,,,,,,,
Tragerea #9,1993-10-17,13,7,6,45,29,25,,,,,,,
Tragerea #10,1993-10-24,8,22,43,14,34,15,,,,,,,
Tragerea #11,1993-10-31,14,17,47,19,36,12,,,,,,,
Tragerea #12,1993-11-14,48,20,6,43,4,35,,,,,,,
Tragerea #13,1993-11-28,37,36,17,35,15,8,,,,,,,
Tragerea #14,1993-12-12,12,33,41,7,34,43,,,,,,,
Tragerea #15,1993-12-19,49,15,46,25,12,32,,,,,,,
Tragerea #16,1994-01-16,7,20,27,46,2,33,,,,,,,
Tragerea #17,1994-01-23,39,5,6,19,20,2,,,,,,,
Tragerea #18,1994-01-30,14,47,40,26,24,36,,,,,,,
Tragerea #19,1994-02-06,45,10,18,43,35,11,,,,,,,
Tragerea #20,1994-02-13,38,29,49,47,8,3,,,,,,,
Tragerea #21,1994-02-20,16,42,33,4,38,7,,,,,,,
Tragerea #22,1994-03-13,22,39,35,29,44,46,,,,,,,
Tragerea #23,1994-03-20,34,9,10,19,2,47,,,,,,,
Tragerea #24,1994-03-27,11,8,25,13,3,38,,,,,,,
Tragerea #25,1994-04-02,38,49,36,20,19,5,,,,,,,
Tragerea #26,1994-04-10,49,42,11,45,9,23,,,,,,,
Tragerea #27,1994-04-17,23,46,1,35,2,22,,,,,,,
Tragerea #28,1994-04-24,10,41,29,25,18,8,,,,,,,
Tragerea #29,1994-05-01,19,7,16,18,6,49,,,,,,,
Tragerea #30,1994-05-08,15,44,32,21,49,10,,,,,,,
Tragerea #31,1994-05-15,29,32,38,24,11,15,,,,,,,
Tragerea #32,1994-05-22,10,18,23,40,35,33,,,,,,,
Tragerea #33,1994-05-29,37,10,44,27,47,48,,,,,,,
Tragerea #34,1994-06-05,34,7,49,14,47,44,,,,,,,
